epoch,g_loss,d_loss,l1_loss,perc_loss,val_ssim,val_psnr,val_lab_error,g_diff,param_changed_pct,lr,epoch_duration_s,l1,adv,perc,ssim_loss,chroma,feat,g_grad_norm,d_grad_norm,g_lr,d_lr,val_mae,val_rmse,val_sam,val_sat_ratio,val_hist_dist,duration_sec
72,99.4190610481031,0.3610849773341959,,,0.2303008250684045,11.255824488634504,30.00683236788105,,,,,0.38481609044653,1.9473376873767736,4.44572588891694,0.7235808762637052,0.0305359159116492,9.09746547756773,188.97710527362244,1.9690527359644567,0.0002,0.0002,0.2306719878532367,0.2905482067076188,0.2164780003065503,0.6178172886704599,0.1385289052261986,137.0489842891693
73,99.31295942826704,0.3631343111847386,,,0.2445898475593694,11.509979631647717,29.869681640710244,,,,,0.3839247141823624,1.951536633751609,4.432275887691613,0.721834907026002,0.0299884152118906,9.106053008455218,171.61411118940873,1.966452278151657,0.0002,0.0002,0.2221819302223248,0.2808283793859641,0.2344445890887489,1.0613908747720984,0.1108711071076562,136.93079900741577
74,99.88872278386896,0.3624491934523438,,,0.2447303300463287,11.477010353983449,30.871061783263137,,,,,0.3846591573773008,1.989782908468536,4.444246303673946,0.7246935140002858,0.030895240063017,9.184925336548776,209.8496553363222,1.986170715635473,0.0002,0.0002,0.2222571865806366,0.2810221574159974,0.2593436997030034,1.1763359821042536,0.1184562984403063,138.31919407844543
75,99.86829274495445,0.3634880325107863,,,0.2364315896726853,11.425776369744838,29.807510972688984,,,,,0.3830418006940321,1.9697961395437067,4.444631388693145,0.7225363048640164,0.0316703521844112,9.189148524313262,188.5504913561272,2.066286360314398,0.0002,0.0002,0.2249016282278732,0.2840578785821712,0.2213491123148848,0.7107589934125292,0.1376490855044937,137.48965096473694
76,101.13226147275982,0.3562465772484288,,,0.232493889398415,11.398975777226454,30.07823412378407,,,,,0.3801821410655975,1.9963701934525464,4.440942021572229,0.7209935545921325,0.0316866718684182,9.451261661991929,210.74080521554657,1.7928317203666224,0.0002,0.0002,0.224665631129089,0.2846151996591237,0.2262701542017846,0.7402242099106645,0.1980374071476512,138.39069938659668
77,100.25414863355232,0.3591624494754907,,,0.227805885855712,11.280035754155849,30.618165810014947,,,,,0.3773176661043456,1.97209869370316,4.435158616846258,0.72058247905789,0.0300513861644448,9.298854417511912,133.96526893846917,1.8703772947643744,0.0002,0.0002,0.2308669553122707,0.2901258305464377,0.2238482731347643,0.8320478913504318,0.1379075231831832,138.05266761779785
78,101.48755285089666,0.3588240652373343,,,0.2104684640575387,11.16542340923288,30.240294610987828,,,,,0.378813653642481,2.0205679192687525,4.435504656127005,0.724458367174322,0.0318733652094096,9.5275528271993,261.166303322532,2.0149072733792392,0.0002,0.0002,0.2291277387288695,0.2898494448075747,0.2222149606024086,0.7391626828209648,0.1736167231557311,138.72813534736633
79,99.4715741706617,0.3636662900447845,,,0.2239040346118991,11.14076867982662,30.519899847787187,,,,,0.3781052114385547,1.9412469350930417,4.447087230104389,0.7228397289911906,0.0305131712759083,9.120635610638242,181.308376381614,1.9638089378674823,0.0002,0.0002,0.2366613469310313,0.2948615717488294,0.2174411576719923,0.7160025082486968,0.1150621367510914,139.69556665420532
80,100.33557545055042,0.3594450800707846,,,0.2252247962871743,11.391970714377292,30.348576529731965,,,,,0.3753332217534383,1.9648779413916848,4.46532719930013,0.72091537027648,0.0321569979529489,9.25904052329786,218.93939914125383,2.074477043296352,0.0002,0.0002,0.2275341416204442,0.2858105644833442,0.2325035100542633,0.8319835020177191,0.1125648814345427,138.92628479003906
81,100.76422109892874,0.35976892637484,,,0.2208579841938764,11.29154139257676,36.01281257714639,,,,,0.3729088487047137,1.980628897927024,4.468227762164491,0.7160787199482773,0.0311615627597678,9.34590187072754,200.1362338441791,1.9241423689957824,0.0002,0.0002,0.2303931892917143,0.2889755371562595,0.2904283645765741,1.821729847838759,0.1519500353274731,139.80496311187744
82,101.60856633041844,0.3585000164581067,,,0.2283269206904832,11.31884347926305,31.66923762699745,,,,,0.3737345056100325,2.0143656983520044,4.458802162517201,0.7146768230380434,0.0313389619304375,9.526554393768311,213.81472202647817,1.94923035791426,0.0002,0.0002,0.2295855853144683,0.2885531816402627,0.2411115659848272,0.9967140285662432,0.1345795420184037,143.27187657356262
83,102.00740324078184,0.3504807797345248,,,0.2494076889986432,11.546010278456704,30.034488805845463,,,,,0.3754408410101226,2.02784209468148,4.439651890956994,0.7135146195238287,0.0304060771045359,9.640049674294213,212.28996057221383,1.8016413741039508,0.0002,0.0002,0.2216323424317983,0.2788958749291617,0.2311772998817806,0.8540603964688391,0.0994114487031318,141.9251446723938
84,101.83828069513494,0.3557114951538317,,,0.212513409513335,11.010948777864764,38.60394374485122,,,,,0.3726461269638755,2.0196557492920846,4.440400860526345,0.7156356403321931,0.0304033328073494,9.609834150834518,172.70389744151723,1.9200709187623224,0.0002,0.0002,0.2381875441727025,0.2977243288935229,0.2999633855326881,1.8765624661685367,0.1305589450998457,141.75939846038818
85,102.27662002101088,0.3579365597529845,,,0.2310972959635644,11.388452476629332,29.880607413180048,,,,,0.3763472277106661,2.041059608892961,4.460217510570179,0.7196127364129731,0.0316460041837258,9.64171138532234,236.75911058368104,1.9403791059147228,0.0002,0.0002,0.2256610256999564,0.284636378288269,0.2229897361560907,0.7485292107699304,0.119412935319837,141.3642590045929
86,101.2207489013672,0.3561080290512605,,,0.2305277752476697,11.231252041608927,31.33822158728232,,,,,0.375520651810097,2.0477209770318234,4.489816232161089,0.7195560155492841,0.0305721979814045,9.37214678851041,217.3611282348633,1.9614324667237024,0.0002,0.0002,0.2293945048108447,0.2894622034200743,0.2323669383312736,0.8883095100605288,0.1133656114672815,141.10764479637146
87,100.03452698678682,0.36571912855813,,,0.2073844221717152,10.909458714490496,32.961300322463394,,,,,0.3803114271525181,2.028731387311762,4.57394584308971,0.7255182678049261,0.0312674915248697,8.954619294946843,225.26745284109404,2.639011151862867,0.0002,0.0002,0.2374969234679664,0.2996317201486513,0.2658677254309201,1.154582802143843,0.1513670471599204,141.74309921264648
